Episode,Success Rate
0,0.00
1,0.00
2,0.00
3,0.00
4,0.00
5,0.00
6,0.00
7,0.00
8,0.00
9,0.00
10,0.00
11,0.08
12,0.08
13,0.07
14,0.13
15,0.12
16,0.18
17,0.17
18,0.21
19,0.20
20,0.24
21,0.27
22,0.30
23,0.33
24,0.36
25,0.38
26,0.41
27,0.43
28,0.45
29,0.47
30,0.48
31,0.47
32,0.48
33,0.50
34,0.51
35,0.53
36,0.54
37,0.55
38,0.56
39,0.57
40,0.59
41,0.60
42,0.58
43,0.57
44,0.56
45,0.57
46,0.57
47,0.58
48,0.59
49,0.60
50,0.61
51,0.62
52,0.62
53,0.63
54,0.64
55,0.64
56,0.65
57,0.64
58,0.64
59,0.65
60,0.66
61,0.66
62,0.67
63,0.67
64,0.68
65,0.68
66,0.69
67,0.68
68,0.67
69,0.67
70,0.66
71,0.67
72,0.67
73,0.68
74,0.68
75,0.67
76,0.68
77,0.68
78,0.68
79,0.69
80,0.69
81,0.70
82,0.70
83,0.70
84,0.71
85,0.71
86,0.70
87,0.70
88,0.70
89,0.69
90,0.69
91,0.70
92,0.70
93,0.70
94,0.71
95,0.71
96,0.70
97,0.70
98,0.70
99,0.70
100,0.69
101,0.70
102,0.70
103,0.70
104,0.70
105,0.70
106,0.70
107,0.70
108,0.71
109,0.71
110,0.71
111,0.71
112,0.72
113,0.72
114,0.72
115,0.72
116,0.73
117,0.73
118,0.73
119,0.72
120,0.73
121,0.73
122,0.72
123,0.73
124,0.73
125,0.73
126,0.73
127,0.73
128,0.73
129,0.73
130,0.73
131,0.73
132,0.73
133,0.73
134,0.73
135,0.74
136,0.74
137,0.74
138,0.74
139,0.74
140,0.74
141,0.75
142,0.75
143,0.75
144,0.75
145,0.75
146,0.76
147,0.76
148,0.75
149,0.75
150,0.75
151,0.76
152,0.76
153,0.76
154,0.76
155,0.76
156,0.76
157,0.77
158,0.77
159,0.77
160,0.77
161,0.77
162,0.77
163,0.77
164,0.78
165,0.78
166,0.77
167,0.77
168,0.78
169,0.78
170,0.78
171,0.78
172,0.78
173,0.78
174,0.78
175,0.78
176,0.78
177,0.78
178,0.78
179,0.78
180,0.78
181,0.78
182,0.78
183,0.78
184,0.78
185,0.78
186,0.79
187,0.79
188,0.78
189,0.78
190,0.79
191,0.79
192,0.79
193,0.79
194,0.79
195,0.79
196,0.79
197,0.79
198,0.79
199,0.80
