Episode,Success Rate
0,0.00
0,0.50
0,0.33
1,0.25
1,0.20
1,0.33
2,0.43
2,0.50
2,0.56
3,0.60
3,0.64
3,0.58
4,0.62
4,0.57
4,0.60
5,0.62
5,0.65
5,0.67
6,0.68
6,0.70
6,0.71
7,0.73
7,0.74
7,0.75
8,0.76
8,0.77
8,0.78
9,0.79
9,0.79
9,0.80
10,0.81
10,0.81
10,0.82
11,0.82
11,0.83
11,0.81
12,0.81
12,0.82
12,0.79
13,0.80
13,0.78
13,0.79
14,0.77
14,0.77
14,0.78
15,0.78
15,0.79
15,0.79
16,0.80
16,0.80
16,0.80
17,0.81
17,0.81
17,0.81
18,0.82
18,0.82
18,0.82
19,0.83
19,0.81
19,0.82
20,0.82
20,0.82
20,0.83
21,0.83
21,0.83
21,0.83
22,0.84
22,0.84
22,0.83
23,0.83
23,0.83
23,0.83
24,0.82
24,0.82
24,0.83
25,0.83
25,0.83
25,0.83
26,0.84
26,0.84
26,0.84
27,0.84
27,0.84
27,0.85
28,0.84
28,0.83
28,0.83
29,0.83
29,0.83
29,0.83
30,0.84
30,0.84
30,0.84
31,0.84
31,0.84
31,0.84
32,0.84
32,0.84
32,0.84
33,0.83
33,0.83
33,0.83
34,0.83
34,0.84
34,0.84
35,0.84
35,0.84
35,0.84
36,0.84
36,0.85
36,0.84
37,0.84
37,0.83
37,0.83
38,0.83
38,0.84
38,0.83
39,0.83
39,0.83
39,0.83
40,0.83
40,0.83
40,0.82
41,0.82
41,0.82
41,0.83
42,0.83
42,0.83
42,0.82
43,0.82
43,0.82
43,0.81
44,0.81
44,0.81
44,0.80
45,0.80
45,0.80
45,0.80
46,0.81
46,0.81
46,0.81
47,0.81
47,0.81
47,0.81
48,0.81
48,0.82
48,0.81
49,0.81
49,0.81
49,0.81
50,0.81
50,0.81
50,0.81
51,0.81
51,0.81
51,0.81
52,0.81
52,0.81
52,0.81
53,0.81
53,0.81
53,0.81
54,0.81
54,0.81
54,0.81
55,0.81
55,0.81
55,0.82
56,0.82
56,0.82
56,0.82
57,0.82
57,0.82
57,0.82
58,0.82
58,0.82
58,0.82
59,0.83
59,0.83
59,0.83
60,0.83
60,0.83
60,0.83
61,0.83
61,0.83
61,0.83
62,0.83
62,0.84
62,0.84
63,0.84
63,0.84
63,0.84
64,0.84
64,0.84
64,0.84
65,0.84
65,0.84
65,0.84
66,0.84
66,0.84
66,0.84
67,0.84
67,0.84
67,0.84
68,0.84
68,0.84
68,0.85
69,0.85
69,0.85
69,0.85
70,0.85
70,0.84
70,0.85
71,0.85
71,0.85
71,0.85
72,0.85
72,0.85
72,0.85
73,0.85
73,0.85
73,0.84
74,0.84
74,0.84
74,0.84
75,0.85
75,0.85
75,0.85
76,0.85
76,0.85
76,0.85
77,0.85
77,0.85
77,0.85
78,0.85
78,0.85
78,0.85
79,0.85
79,0.85
79,0.85
80,0.85
80,0.85
80,0.85
81,0.85
81,0.85
81,0.85
82,0.85
82,0.85
82,0.85
83,0.85
83,0.85
83,0.85
84,0.85
84,0.85
84,0.85
85,0.86
85,0.86
85,0.86
86,0.86
86,0.86
86,0.85
87,0.85
87,0.85
87,0.85
88,0.85
88,0.85
88,0.85
89,0.85
89,0.85
89,0.85
90,0.85
90,0.85
90,0.85
91,0.85
91,0.85
91,0.86
92,0.86
92,0.86
92,0.86
93,0.86
93,0.86
93,0.85
94,0.86
94,0.86
94,0.86
95,0.86
95,0.86
95,0.86
96,0.86
96,0.86
96,0.86
97,0.86
97,0.86
97,0.86
98,0.86
98,0.86
98,0.86
99,0.86
99,0.86
99,0.86
100,0.86
100,0.86
100,0.85
101,0.86
101,0.86
101,0.86
102,0.86
102,0.85
102,0.85
103,0.85
103,0.86
103,0.86
104,0.86
104,0.86
104,0.86
105,0.86
105,0.86
105,0.86
106,0.86
106,0.86
106,0.86
107,0.86
107,0.85
107,0.85
108,0.85
108,0.85
108,0.85
109,0.85
109,0.85
109,0.85
110,0.85
110,0.85
110,0.85
111,0.85
111,0.85
111,0.85
112,0.85
112,0.85
112,0.85
113,0.85
113,0.85
113,0.85
114,0.85
114,0.85
114,0.85
115,0.85
115,0.85
115,0.85
116,0.85
116,0.85
116,0.85
117,0.86
117,0.86
117,0.86
118,0.86
118,0.85
118,0.85
119,0.85
119,0.85
119,0.85
120,0.85
120,0.85
120,0.85
121,0.85
121,0.85
121,0.85
122,0.85
122,0.85
122,0.85
123,0.85
123,0.85
123,0.85
124,0.85
124,0.85
124,0.85
125,0.85
125,0.85
125,0.85
126,0.85
126,0.85
126,0.85
127,0.85
127,0.85
127,0.85
128,0.85
128,0.85
128,0.85
129,0.85
129,0.85
129,0.85
130,0.85
130,0.85
130,0.85
131,0.85
131,0.85
131,0.85
132,0.85
132,0.85
132,0.85
133,0.85
133,0.86
133,0.86
134,0.86
134,0.86
134,0.85
135,0.85
135,0.86
135,0.86
136,0.86
136,0.86
136,0.86
137,0.86
137,0.86
137,0.86
138,0.86
138,0.86
138,0.86
139,0.86
139,0.86
139,0.86
140,0.86
140,0.86
140,0.86
141,0.86
141,0.86
141,0.86
142,0.86
142,0.86
142,0.86
143,0.86
143,0.86
143,0.86
144,0.86
144,0.86
144,0.86
145,0.86
145,0.86
145,0.86
146,0.86
146,0.85
146,0.85
147,0.86
147,0.86
147,0.86
148,0.86
148,0.86
148,0.86
149,0.86
149,0.86
149,0.86
150,0.86
150,0.86
150,0.86
151,0.86
151,0.86
151,0.86
152,0.86
152,0.86
152,0.86
153,0.86
153,0.86
153,0.86
154,0.86
154,0.86
154,0.86
155,0.86
155,0.86
155,0.86
156,0.86
156,0.86
156,0.86
157,0.86
157,0.86
157,0.86
158,0.86
158,0.86
158,0.86
159,0.86
159,0.86
159,0.86
160,0.86
160,0.86
160,0.86
161,0.86
161,0.86
161,0.86
162,0.86
162,0.86
162,0.86
163,0.86
163,0.86
163,0.86
164,0.86
164,0.85
164,0.85
165,0.85
165,0.86
165,0.86
166,0.85
166,0.85
166,0.85
167,0.85
167,0.85
167,0.85
168,0.85
168,0.85
168,0.85
169,0.85
169,0.85
169,0.85
170,0.86
170,0.85
170,0.85
171,0.85
171,0.85
171,0.85
172,0.85
172,0.86
172,0.86
173,0.86
173,0.86
173,0.86
174,0.85
174,0.85
174,0.86
175,0.85
175,0.85
175,0.85
176,0.85
176,0.85
176,0.85
177,0.85
177,0.85
177,0.85
178,0.85
178,0.85
178,0.85
179,0.85
179,0.85
179,0.85
180,0.85
180,0.85
180,0.85
181,0.85
181,0.86
181,0.86
182,0.86
182,0.86
182,0.86
183,0.86
183,0.86
183,0.86
184,0.86
184,0.86
184,0.86
185,0.86
185,0.86
185,0.86
186,0.86
186,0.86
186,0.86
187,0.86
187,0.86
187,0.86
188,0.86
188,0.86
188,0.86
189,0.86
189,0.86
189,0.86
190,0.86
190,0.86
190,0.86
191,0.86
191,0.86
191,0.86
192,0.86
192,0.86
192,0.86
193,0.86
193,0.86
193,0.86
194,0.86
194,0.86
194,0.86
195,0.86
195,0.86
195,0.86
196,0.86
196,0.86
196,0.86
197,0.86
197,0.86
197,0.86
198,0.86
198,0.86
198,0.86
199,0.86
199,0.86
199,0.86
