Episode,Success Rate
0,0.00
1,0.00
2,0.00
3,0.00
4,0.00
5,0.00
6,0.00
7,0.00
8,0.00
9,0.00
10,0.00
11,0.00
12,0.00
13,0.00
14,0.00
15,0.00
16,0.00
17,0.00
18,0.00
19,0.00
20,0.05
21,0.05
22,0.04
23,0.04
24,0.08
25,0.08
26,0.07
27,0.11
28,0.14
29,0.13
30,0.16
31,0.19
32,0.21
33,0.24
34,0.26
35,0.28
36,0.27
37,0.29
38,0.31
39,0.33
40,0.34
41,0.33
42,0.35
43,0.36
44,0.38
45,0.39
46,0.38
47,0.38
48,0.39
49,0.38
50,0.39
51,0.40
52,0.40
53,0.41
54,0.42
55,0.43
56,0.42
57,0.43
58,0.44
59,0.43
60,0.44
61,0.45
62,0.46
63,0.45
64,0.46
65,0.47
66,0.48
67,0.47
68,0.48
69,0.49
70,0.49
71,0.50
72,0.51
73,0.51
74,0.52
75,0.53
76,0.53
77,0.54
78,0.54
79,0.55
80,0.56
81,0.56
82,0.57
83,0.56
84,0.56
85,0.57
86,0.56
87,0.57
88,0.57
89,0.57
90,0.57
91,0.58
92,0.58
93,0.59
94,0.59
95,0.59
96,0.60
97,0.59
98,0.60
99,0.60
100,0.60
101,0.61
102,0.61
103,0.62
104,0.62
105,0.62
106,0.63
107,0.62
108,0.62
109,0.63
110,0.62
111,0.62
112,0.63
113,0.63
114,0.63
115,0.63
116,0.63
117,0.64
118,0.64
119,0.64
120,0.64
121,0.65
122,0.64
123,0.65
124,0.65
125,0.64
126,0.65
127,0.65
128,0.65
129,0.65
130,0.65
131,0.65
132,0.65
133,0.66
134,0.66
135,0.66
136,0.66
137,0.66
138,0.66
139,0.66
140,0.65
141,0.65
142,0.65
143,0.65
144,0.66
145,0.66
146,0.66
147,0.66
148,0.66
149,0.66
150,0.66
151,0.66
152,0.67
153,0.67
154,0.67
155,0.67
156,0.68
157,0.68
158,0.68
159,0.68
160,0.68
161,0.69
162,0.69
163,0.68
164,0.68
165,0.69
166,0.69
167,0.69
168,0.69
169,0.69
170,0.69
171,0.69
172,0.69
173,0.70
174,0.69
175,0.69
176,0.69
177,0.69
178,0.69
179,0.69
180,0.69
181,0.69
182,0.69
183,0.69
184,0.69
185,0.69
186,0.70
187,0.70
188,0.70
189,0.70
190,0.70
191,0.70
192,0.70
193,0.70
194,0.70
195,0.70
196,0.70
197,0.70
198,0.70
199,0.70
200,0.70
