Episode,Success Rate
0,0.00
1,0.00
2,0.00
3,0.00
4,0.00
5,0.00
6,0.00
7,0.00
8,0.00
9,0.00
10,0.00
11,0.00
12,0.00
13,0.00
14,0.00
15,0.00
16,0.00
17,0.00
18,0.00
19,0.00
20,0.00
21,0.00
22,0.00
23,0.00
24,0.00
25,0.00
26,0.00
27,0.00
28,0.00
29,0.00
30,0.00
31,0.00
32,0.00
33,0.00
34,0.00
35,0.00
36,0.00
37,0.03
38,0.03
39,0.03
40,0.02
41,0.05
42,0.05
43,0.05
44,0.04
45,0.04
46,0.04
47,0.04
48,0.04
49,0.06
50,0.06
51,0.06
52,0.06
53,0.07
54,0.09
55,0.11
56,0.11
57,0.10
58,0.12
59,0.12
60,0.11
61,0.13
62,0.13
63,0.12
64,0.14
65,0.14
66,0.15
67,0.15
68,0.16
69,0.17
70,0.17
71,0.17
72,0.16
73,0.16
74,0.17
75,0.17
76,0.17
77,0.18
78,0.18
79,0.17
80,0.17
81,0.17
82,0.18
83,0.19
84,0.19
85,0.19
86,0.20
87,0.20
88,0.20
89,0.21
90,0.22
91,0.23
92,0.23
93,0.23
94,0.24
95,0.25
96,0.26
97,0.27
98,0.26
99,0.27
100,0.28
101,0.28
102,0.29
103,0.30
104,0.30
105,0.31
106,0.32
107,0.31
108,0.32
109,0.33
110,0.32
111,0.33
112,0.34
113,0.34
114,0.35
115,0.34
116,0.35
117,0.36
118,0.36
119,0.36
120,0.36
121,0.36
122,0.36
123,0.36
124,0.36
125,0.37
126,0.37
127,0.37
128,0.37
129,0.38
130,0.37
131,0.38
132,0.38
133,0.38
134,0.38
135,0.38
136,0.38
137,0.38
138,0.39
139,0.39
140,0.40
141,0.39
142,0.40
143,0.40
144,0.40
145,0.40
146,0.40
147,0.41
148,0.41
149,0.41
150,0.42
151,0.42
152,0.42
153,0.43
154,0.43
155,0.43
156,0.43
157,0.44
158,0.44
159,0.44
160,0.45
161,0.44
162,0.45
163,0.45
164,0.45
165,0.46
166,0.46
167,0.46
168,0.46
169,0.45
170,0.46
171,0.46
172,0.46
173,0.47
174,0.46
175,0.46
176,0.46
177,0.47
178,0.46
179,0.47
180,0.47
181,0.47
182,0.48
183,0.48
184,0.48
185,0.48
186,0.49
187,0.49
188,0.49
189,0.49
190,0.50
191,0.50
192,0.50
193,0.50
194,0.50
195,0.51
196,0.51
197,0.51
198,0.51
199,0.51
200,0.51
