Episode,Average Success Rate
0,0.00
1,0.00
2,0.00
3,0.00
4,0.00
5,0.00
6,0.00
7,0.00
8,0.00
9,0.00
10,0.00
11,0.00
12,0.00
13,0.00
14,0.00
15,0.00
16,0.00
17,0.00
18,0.00
19,0.00
20,0.00
21,0.00
22,0.00
23,0.00
24,0.00
25,0.00
26,0.00
27,0.00
28,0.00
29,0.00
30,0.00
31,0.01
32,0.01
33,0.01
34,0.02
35,0.02
36,0.03
37,0.03
38,0.03
39,0.03
40,0.04
41,0.04
42,0.04
43,0.05
44,0.05
45,0.05
46,0.05
47,0.05
48,0.06
49,0.06
50,0.07
51,0.07
52,0.07
53,0.07
54,0.08
55,0.08
56,0.08
57,0.09
58,0.09
59,0.09
60,0.10
61,0.10
62,0.10
63,0.11
64,0.11
65,0.12
66,0.12
67,0.12
68,0.13
69,0.13
70,0.14
71,0.14
72,0.14
73,0.15
74,0.15
75,0.16
76,0.16
77,0.16
78,0.17
79,0.17
80,0.17
81,0.18
82,0.18
83,0.18
84,0.19
85,0.19
86,0.19
87,0.20
88,0.20
89,0.21
90,0.21
91,0.21
92,0.22
93,0.22
94,0.23
95,0.23
96,0.23
97,0.24
98,0.24
99,0.25
100,0.25
101,0.26
102,0.26
103,0.27
104,0.27
105,0.28
106,0.28
107,0.28
108,0.29
109,0.29
110,0.30
111,0.30
112,0.31
113,0.31
114,0.31
115,0.32
116,0.32
117,0.32
118,0.33
119,0.33
120,0.33
121,0.34
122,0.34
123,0.34
124,0.35
125,0.35
126,0.35
127,0.36
128,0.36
129,0.36
130,0.36
131,0.37
132,0.37
133,0.37
134,0.37
135,0.38
136,0.38
137,0.38
138,0.39
139,0.39
140,0.39
141,0.39
142,0.40
143,0.40
144,0.40
145,0.40
146,0.40
147,0.41
148,0.41
149,0.41
150,0.41
151,0.42
152,0.42
153,0.42
154,0.42
155,0.42
156,0.43
157,0.43
158,0.43
159,0.43
160,0.43
161,0.44
162,0.44
163,0.44
164,0.44
165,0.44
166,0.45
167,0.45
168,0.45
169,0.45
170,0.45
171,0.45
172,0.46
173,0.46
174,0.46
175,0.46
176,0.46
177,0.46
178,0.47
179,0.47
180,0.47
181,0.47
182,0.47
183,0.47
184,0.48
185,0.48
186,0.48
187,0.48
188,0.48
189,0.48
190,0.48
191,0.49
192,0.49
193,0.49
194,0.49
195,0.49
196,0.49
197,0.49
198,0.50
199,0.50
200,0.50
