Episode,Average Success Rate
0,0.00
1,0.00
2,0.00
3,0.00
4,0.00
5,0.00
6,0.00
7,0.00
8,0.00
9,0.01
10,0.02
11,0.03
12,0.05
13,0.06
14,0.08
15,0.10
16,0.13
17,0.16
18,0.19
19,0.21
20,0.23
21,0.25
22,0.27
23,0.28
24,0.30
25,0.31
26,0.31
27,0.33
28,0.35
29,0.36
30,0.38
31,0.39
32,0.40
33,0.41
34,0.42
35,0.43
36,0.44
37,0.45
38,0.46
39,0.47
40,0.48
41,0.49
42,0.50
43,0.51
44,0.51
45,0.52
46,0.53
47,0.54
48,0.54
49,0.55
50,0.55
51,0.56
52,0.57
53,0.57
54,0.58
55,0.58
56,0.59
57,0.59
58,0.60
59,0.60
60,0.61
61,0.61
62,0.62
63,0.62
64,0.62
65,0.63
66,0.63
67,0.64
68,0.64
69,0.64
70,0.65
71,0.65
72,0.65
73,0.65
74,0.66
75,0.66
76,0.66
77,0.66
78,0.67
79,0.67
80,0.67
81,0.67
82,0.68
83,0.68
84,0.68
85,0.68
86,0.69
87,0.69
88,0.69
89,0.69
90,0.69
91,0.70
92,0.70
93,0.70
94,0.70
95,0.70
96,0.70
97,0.71
98,0.71
99,0.71
100,0.71
101,0.71
102,0.71
103,0.72
104,0.72
105,0.72
106,0.72
107,0.72
108,0.72
109,0.72
110,0.73
111,0.73
112,0.73
113,0.73
114,0.73
115,0.73
116,0.73
117,0.73
118,0.73
119,0.74
120,0.74
121,0.74
122,0.74
123,0.74
124,0.74
125,0.74
126,0.74
127,0.74
128,0.74
129,0.75
130,0.75
131,0.75
132,0.75
133,0.75
134,0.75
135,0.75
136,0.75
137,0.75
138,0.75
139,0.75
140,0.76
141,0.76
142,0.76
143,0.76
144,0.76
145,0.76
146,0.76
147,0.76
148,0.76
149,0.76
150,0.76
151,0.76
152,0.76
153,0.76
154,0.76
155,0.77
156,0.77
157,0.77
158,0.77
159,0.77
160,0.77
161,0.77
162,0.77
163,0.77
164,0.77
165,0.77
166,0.77
167,0.77
168,0.77
169,0.77
170,0.78
171,0.78
172,0.78
173,0.78
174,0.78
175,0.78
176,0.78
177,0.78
178,0.78
179,0.78
180,0.78
181,0.78
182,0.78
183,0.78
184,0.78
185,0.78
186,0.78
187,0.78
188,0.78
189,0.78
190,0.79
191,0.79
192,0.79
193,0.79
194,0.79
195,0.79
196,0.79
197,0.79
198,0.79
199,0.79
200,0.79
