Episode,Success Rate
1,0
2,0
3,0
4,0
5,0
6,0.17
7,0.14
8,0.12
9,0.22
10,0.2
11,0.27
12,0.25
13,0.31
14,0.36
15,0.4
16,0.38
17,0.41
18,0.44
19,0.47
20,0.5
21,0.52
22,0.55
23,0.52
24,0.54
25,0.56
26,0.58
27,0.56
28,0.54
29,0.55
30,0.57
31,0.58
32,0.59
33,0.61
34,0.62
35,0.63
36,0.61
37,0.62
38,0.61
39,0.62
40,0.62
41,0.61
42,0.62
43,0.63
44,0.64
45,0.64
46,0.65
47,0.64
48,0.65
49,0.65
50,0.66
51,0.65
52,0.65
53,0.66
54,0.67
55,0.67
56,0.68
57,0.68
58,0.69
59,0.69
60,0.68
61,0.69
62,0.69
63,0.7
64,0.7
65,0.71
66,0.71
67,0.72
68,0.72
69,0.72
70,0.73
71,0.73
72,0.74
73,0.74
74,0.74
75,0.73
76,0.72
77,0.73
78,0.73
79,0.73
80,0.74
81,0.74
82,0.74
83,0.75
84,0.75
85,0.75
86,0.76
87,0.76
88,0.76
89,0.76
90,0.77
91,0.77
92,0.77
93,0.77
94,0.77
95,0.77
96,0.77
97,0.76
98,0.76
99,0.76
100,0.76
101,0.76
102,0.76
103,0.77
104,0.76
105,0.76
106,0.76
107,0.77
108,0.77
109,0.76
110,0.76
111,0.77
112,0.77
113,0.77
114,0.77
115,0.77
116,0.78
117,0.78
118,0.78
119,0.77
120,0.78
121,0.77
122,0.77
123,0.76
124,0.77
125,0.76
126,0.76
127,0.76
128,0.77
129,0.77
130,0.77
131,0.76
132,0.77
133,0.77
134,0.77
135,0.77
136,0.77
137,0.77
138,0.77
139,0.76
140,0.76
141,0.77
142,0.77
143,0.77
144,0.76
145,0.77
146,0.77
147,0.77
148,0.77
149,0.77
150,0.77
151,0.77
152,0.77
153,0.77
154,0.77
155,0.77
156,0.77
157,0.77
158,0.77
159,0.77
160,0.77
161,0.77
162,0.77
163,0.77
164,0.77
165,0.78
166,0.78
167,0.78
168,0.77
169,0.78
170,0.78
171,0.77
172,0.77
173,0.77
174,0.78
175,0.78
176,0.78
177,0.78
178,0.78
179,0.78
180,0.78
181,0.78
182,0.78
183,0.78
184,0.78
185,0.78
186,0.78
187,0.79
188,0.79
189,0.78
190,0.78
191,0.79
192,0.78
193,0.78
194,0.78
195,0.78
196,0.79
197,0.79
198,0.78
199,0.78
200,0.79
