Episode,Average Success Rate
1,0.00
2,0.00
3,0.00
4,0.00
5,0.01
6,0.01
7,0.01
8,0.01
9,0.01
10,0.02
11,0.03
12,0.03
13,0.05
14,0.06
15,0.08
16,0.10
17,0.12
18,0.15
19,0.17
20,0.19
21,0.21
22,0.24
23,0.26
24,0.27
25,0.29
26,0.31
27,0.33
28,0.34
29,0.36
30,0.37
31,0.38
32,0.39
33,0.40
34,0.41
35,0.42
36,0.43
37,0.44
38,0.45
39,0.46
40,0.47
41,0.48
42,0.48
43,0.49
44,0.50
45,0.50
46,0.51
47,0.52
48,0.52
49,0.53
50,0.53
51,0.54
52,0.54
53,0.55
54,0.55
55,0.56
56,0.56
57,0.57
58,0.57
59,0.57
60,0.58
61,0.58
62,0.59
63,0.59
64,0.59
65,0.60
66,0.60
67,0.60
68,0.61
69,0.61
70,0.61
71,0.61
72,0.61
73,0.62
74,0.62
75,0.62
76,0.63
77,0.63
78,0.63
79,0.63
80,0.63
81,0.64
82,0.64
83,0.64
84,0.64
85,0.64
86,0.65
87,0.65
88,0.65
89,0.65
90,0.65
91,0.65
92,0.65
93,0.66
94,0.66
95,0.66
96,0.66
97,0.66
98,0.66
99,0.67
100,0.67
101,0.67
102,0.67
103,0.67
104,0.67
105,0.67
106,0.67
107,0.68
108,0.68
109,0.68
110,0.68
111,0.68
112,0.68
113,0.68
114,0.68
115,0.69
116,0.69
117,0.69
118,0.69
119,0.69
120,0.69
121,0.69
122,0.69
123,0.69
124,0.69
125,0.70
126,0.70
127,0.70
128,0.70
129,0.70
130,0.70
131,0.70
132,0.70
133,0.70
134,0.70
135,0.70
136,0.71
137,0.71
138,0.71
139,0.71
140,0.71
141,0.71
142,0.71
143,0.71
144,0.71
145,0.71
146,0.71
147,0.71
148,0.71
149,0.72
150,0.72
151,0.72
152,0.72
153,0.72
154,0.72
155,0.72
156,0.72
157,0.72
158,0.72
159,0.72
160,0.72
161,0.72
162,0.72
163,0.72
164,0.72
165,0.72
166,0.73
167,0.73
168,0.73
169,0.73
170,0.73
171,0.73
172,0.73
173,0.73
174,0.73
175,0.73
176,0.73
177,0.73
178,0.73
179,0.73
180,0.73
181,0.73
182,0.73
183,0.73
184,0.73
185,0.73
186,0.73
187,0.74
188,0.74
189,0.74
190,0.74
191,0.74
192,0.74
193,0.74
194,0.74
195,0.74
196,0.74
197,0.74
198,0.74
199,0.74
200,0.74
