Episode,Average Success Rate
1,0.00
2,0.00
3,0.00
4,0.00
5,0.00
6,0.01
7,0.02
8,0.04
9,0.05
10,0.08
11,0.11
12,0.14
13,0.17
14,0.21
15,0.23
16,0.26
17,0.28
18,0.31
19,0.33
20,0.35
21,0.37
22,0.39
23,0.41
24,0.42
25,0.44
26,0.45
27,0.46
28,0.47
29,0.48
30,0.49
31,0.50
32,0.51
33,0.52
34,0.53
35,0.54
36,0.55
37,0.55
38,0.56
39,0.57
40,0.57
41,0.58
42,0.58
43,0.59
44,0.59
45,0.60
46,0.60
47,0.60
48,0.61
49,0.61
50,0.62
51,0.62
52,0.62
53,0.63
54,0.63
55,0.63
56,0.63
57,0.64
58,0.64
59,0.64
60,0.65
61,0.65
62,0.65
63,0.65
64,0.66
65,0.66
66,0.66
67,0.66
68,0.67
69,0.67
70,0.67
71,0.67
72,0.67
73,0.68
74,0.68
75,0.68
76,0.68
77,0.68
78,0.68
79,0.68
80,0.69
81,0.69
82,0.69
83,0.69
84,0.69
85,0.69
86,0.69
87,0.70
88,0.70
89,0.70
90,0.70
91,0.70
92,0.70
93,0.70
94,0.70
95,0.71
96,0.71
97,0.71
98,0.71
99,0.71
100,0.71
101,0.71
102,0.71
103,0.71
104,0.71
105,0.72
106,0.72
107,0.72
108,0.72
109,0.72
110,0.72
111,0.72
112,0.72
113,0.72
114,0.72
115,0.72
116,0.72
117,0.73
118,0.73
119,0.73
120,0.73
121,0.73
122,0.73
123,0.73
124,0.73
125,0.73
126,0.73
127,0.73
128,0.73
129,0.73
130,0.73
131,0.73
132,0.73
133,0.73
134,0.73
135,0.73
136,0.73
137,0.73
138,0.73
139,0.73
140,0.73
141,0.73
142,0.73
143,0.74
144,0.73
145,0.74
146,0.74
147,0.74
148,0.74
149,0.74
150,0.74
151,0.74
152,0.74
153,0.74
154,0.74
155,0.74
156,0.74
157,0.74
158,0.74
159,0.74
160,0.74
161,0.74
162,0.74
163,0.74
164,0.74
165,0.74
166,0.74
167,0.74
168,0.74
169,0.74
170,0.75
171,0.75
172,0.75
173,0.75
174,0.75
175,0.75
176,0.75
177,0.75
178,0.75
179,0.75
180,0.75
181,0.75
182,0.75
183,0.75
184,0.75
185,0.75
186,0.75
187,0.75
188,0.75
189,0.75
190,0.75
191,0.75
192,0.75
193,0.75
194,0.75
195,0.75
196,0.75
197,0.75
198,0.75
199,0.75
200,0.75
