Episode,Average Success Rate
1,0.00
2,0.00
3,0.00
4,0.00
5,0.00
6,0.00
7,0.00
8,0.00
9,0.01
10,0.01
11,0.01
12,0.01
13,0.01
14,0.01
15,0.01
16,0.02
17,0.02
18,0.02
19,0.03
20,0.03
21,0.04
22,0.04
23,0.05
24,0.06
25,0.07
26,0.08
27,0.09
28,0.10
29,0.11
30,0.13
31,0.14
32,0.15
33,0.16
34,0.17
35,0.18
36,0.19
37,0.20
38,0.22
39,0.23
40,0.24
41,0.25
42,0.26
43,0.27
44,0.28
45,0.29
46,0.30
47,0.31
48,0.32
49,0.33
50,0.34
51,0.35
52,0.35
53,0.36
54,0.37
55,0.38
56,0.38
57,0.39
58,0.39
59,0.40
60,0.40
61,0.41
62,0.41
63,0.42
64,0.42
65,0.43
66,0.43
67,0.44
68,0.45
69,0.45
70,0.46
71,0.46
72,0.46
73,0.47
74,0.47
75,0.48
76,0.48
77,0.49
78,0.49
79,0.49
80,0.50
81,0.50
82,0.50
83,0.51
84,0.51
85,0.51
86,0.52
87,0.52
88,0.52
89,0.53
90,0.53
91,0.53
92,0.54
93,0.54
94,0.54
95,0.55
96,0.55
97,0.55
98,0.55
99,0.56
100,0.56
101,0.56
102,0.56
103,0.57
104,0.57
105,0.57
106,0.57
107,0.57
108,0.58
109,0.58
110,0.58
111,0.58
112,0.58
113,0.59
114,0.59
115,0.59
116,0.59
117,0.59
118,0.60
119,0.60
120,0.60
121,0.60
122,0.60
123,0.60
124,0.61
125,0.61
126,0.61
127,0.61
128,0.61
129,0.61
130,0.61
131,0.62
132,0.62
133,0.62
134,0.62
135,0.62
136,0.62
137,0.63
138,0.63
139,0.63
140,0.63
141,0.63
142,0.63
143,0.63
144,0.63
145,0.63
146,0.64
147,0.64
148,0.64
149,0.64
150,0.64
151,0.64
152,0.64
153,0.64
154,0.65
155,0.65
156,0.65
157,0.65
158,0.65
159,0.65
160,0.65
161,0.65
162,0.65
163,0.65
164,0.66
165,0.66
166,0.66
167,0.66
168,0.66
169,0.66
170,0.66
171,0.66
172,0.66
173,0.66
174,0.66
175,0.66
176,0.66
177,0.67
178,0.67
179,0.67
180,0.67
181,0.67
182,0.67
183,0.67
184,0.67
185,0.67
186,0.67
187,0.67
188,0.67
189,0.67
190,0.67
191,0.67
192,0.67
193,0.68
194,0.68
195,0.68
196,0.68
197,0.68
198,0.68
199,0.68
200,0.68
